,Open,High,Low,Close,Volume,TradingDate
315,83800.0,86100.0,83000.0,85000.0,5280500,2022-09-08
316,85200.0,85300.0,83600.0,84700.0,2183100,2022-09-09
317,84900.0,84900.0,83700.0,83900.0,2827860,2022-09-12
318,84000.0,84000.0,82900.0,83500.0,3422000,2022-09-13
319,83000.0,83900.0,82000.0,83500.0,3654400,2022-09-14
320,83500.0,85500.0,83500.0,85300.0,2694800,2022-09-15
321,85500.0,86400.0,84100.0,86400.0,3627600,2022-09-16
322,86700.0,86800.0,84800.0,85000.0,3688300,2022-09-19
323,85000.0,85000.0,84000.0,84600.0,3219500,2022-09-20
324,84700.0,84700.0,84000.0,84600.0,2330200,2022-09-21
325,84000.0,84600.0,83200.0,84600.0,3809600,2022-09-22
326,84600.0,85200.0,83800.0,84500.0,3036200,2022-09-23
327,84500.0,84500.0,83800.0,84500.0,3798100,2022-09-26
328,84600.0,84900.0,84000.0,84500.0,2711600,2022-09-27
329,84500.0,84800.0,83000.0,84200.0,2159337,2022-09-28
330,85000.0,85400.0,83900.0,84800.0,3203928,2022-09-29
331,84900.0,85500.0,83900.0,84900.0,4675781,2022-09-30
332,84000.0,85000.0,81000.0,82000.0,2370445,2022-10-03
333,82300.0,82900.0,81000.0,82000.0,2034368,2022-10-04
334,82000.0,82600.0,81300.0,82000.0,2402354,2022-10-05
335,82000.0,82900.0,80100.0,80200.0,1831654,2022-10-06
336,80100.0,80200.0,77400.0,79000.0,3671875,2022-10-07
337,75400.0,78000.0,74900.0,76400.0,2479207,2022-10-10
338,75800.0,75800.0,71100.0,75000.0,4493581,2022-10-11
339,74000.0,78000.0,74000.0,76000.0,3528685,2022-10-12
340,75000.0,75900.0,72800.0,75500.0,1808142,2022-10-13
341,75000.0,76000.0,74000.0,76000.0,2363534,2022-10-14
342,76000.0,76000.0,73000.0,75000.0,1795655,2022-10-17
343,75000.0,75100.0,74000.0,75100.0,2734638,2022-10-18
344,75000.0,75000.0,74000.0,75000.0,913410,2022-10-19
345,74200.0,75100.0,74000.0,75100.0,1632788,2022-10-20
346,75000.0,75000.0,73000.0,75000.0,1945825,2022-10-21
347,73800.0,75000.0,72900.0,74400.0,2358502,2022-10-24
